INFO 2012-01-18 21:55:03,788 Searching 23890 pages for events.
INFO 2012-01-18 22:25:04,677 Importing events for Facebook page 116505075070001
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 111733728863006
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 188318934577921
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 114124318618307
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 204781019557547
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 119249468127964
INFO 2012-01-18 22:25:04,678 Importing events for Facebook page 119552624762155
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 204639152927932
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 174166812605289
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 150232195029652
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 144297845601499
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 104144496284836
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 194446833911213
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 111584232214512
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 210195598995334
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 188493581225436
INFO 2012-01-18 22:25:04,679 Importing events for Facebook page 145644472122343
INFO 2012-01-18 22:25:04,680 Importing events for Facebook page 110776478937130
INFO 2012-01-18 22:25:04,680 Importing events for Facebook page 147976931948544
INFO 2012-01-18 22:25:04,680 Importing events for Facebook page 117265414956204
INFO 2012-01-18 22:25:04,680 Importing events for Facebook page 122848067794110
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 119426894737363
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 118233561936
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 236578469714028
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 187420817961683
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 113571818709352
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 149659015066443
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 167853403246553
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 107608119018
INFO 2012-01-18 22:25:04,681 Importing events for Facebook page 174536355923170
INFO 2012-01-18 22:25:04,682 Importing events for Facebook page 113099441623
