INFO 2012-01-19 13:29:34,948 Importing Organizations into database from 1 pages
INFO 2012-01-19 13:29:38,312 63893177312: Imported successfully as Opus One Productions
INFO 2012-01-19 13:29:38,313 1 new Organizations imported
INFO 2012-01-19 13:29:38,547 63893177312: Imported successfully as Opus One Productions. Loc: 415 Evergreen Avenue STE 102, Pittsburgh, PA, 
INFO 2012-01-19 13:29:38,547 1 new Places imported
INFO 2012-01-19 13:29:38,547 Searching 1 pages for events.
INFO 2012-01-19 13:32:10,292 Importing events for Facebook page 63893177312
INFO 2012-01-19 13:32:10,292 312579092097195: Imported successfully as Anthony Green 6/20 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,292 363563730323895: Imported successfully as Girl Talk 6/9 at Stage AE Outdoors
INFO 2012-01-19 13:32:10,293 186236518131529: Imported successfully as Cloud Nothings 4/3 at Brillobox
INFO 2012-01-19 13:32:10,293 127625440688268: Imported successfully as Cursive 3/28 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,293 208148242608796: Imported successfully as Fanfarlo 3/25 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,293 227905340625232: Imported successfully as Drew Holcomb & the Neighbors 3/21 at Club Cafe
INFO 2012-01-19 13:32:10,293 195033643915020: Imported successfully as Grimes 3/20 at Brillobox
INFO 2012-01-19 13:32:10,293 307067812654746: Imported successfully as SOLD OUT - The Fresh Beat Band Live In Concert 3/17 at Byham Theater
INFO 2012-01-19 13:32:10,293 333923599958565: Imported successfully as John K Samson and the Provincial Band 3/16 at Club Cafe
INFO 2012-01-19 13:32:10,293 141828462598200: Imported successfully as Sun Ray, Shining Light 7" Single Release Party 3/10 at Brillobox
INFO 2012-01-19 13:32:10,294 142890342491402: Imported successfully as Hoots & Hellmouth 3/8 at Club Cafe
INFO 2012-01-19 13:32:10,294 185755911512138: Imported successfully as Boyce Avenue 3/8 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,294 128553717256215: Imported successfully as moe. 3/8 at Stage AE
INFO 2012-01-19 13:32:10,294 300303003323149: Imported successfully as Buckwheat Zydeco 3/6 at Club Cafe
INFO 2012-01-19 13:32:10,294 200511076698348: Imported successfully as Caravan Of Thieves 3/3 at Club Cafe
INFO 2012-01-19 13:32:10,294 207198629374112: Imported successfully as Mayday Parade & We The Kings: The End of the World Tour 3/3 at Mr. Smalls
INFO 2012-01-19 13:32:10,294 234345019965604: Imported successfully as Whitehorse 3/2 at Club Cafe
INFO 2012-01-19 13:32:10,295 163622320397295: Imported successfully as Eilen Jewell 3/1 at Club Cafe
INFO 2012-01-19 13:32:10,295 192016187551598: Imported successfully as 91.3fm WYEP Presents Dr. Dog 3/1 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,295 173222986107625: Imported successfully as Galactic ft. Corey Glover & Corey Henry 2/29 at Mr. Smalls
INFO 2012-01-19 13:32:10,295 277918625580900: Imported successfully as Matthew Good 2/29 at Club Cafe
INFO 2012-01-19 13:32:10,296 156499211122710: Imported successfully as The Boogie Hustlers 2/25 at Club Cafe
INFO 2012-01-19 13:32:10,296 282365575154866: Imported successfully as Nameless In August 2/24 at Club Cafe
INFO 2012-01-19 13:32:10,296 334411836585269: Imported successfully as Less Than Jake 2/24 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,296 153271681449977: Imported successfully as Nic Cowan 2/23 at Club Cafe
INFO 2012-01-19 13:32:10,296 247870598603693: Imported successfully as Other Lives 2/22 at Brillobox
INFO 2012-01-19 13:32:10,297 154106424694845: Imported successfully as Big Gigantic 2/22 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,297 201146493296421: Imported successfully as The Toasters 2/22 at Club Cafe
INFO 2012-01-19 13:32:10,297 269321016437515: Imported successfully as An Evening with Emilie Autumn 2/21 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,298 128303697281734: Imported successfully as Heartless Bastards 2/19 at Club Cafe
INFO 2012-01-19 13:32:10,298 314951891857567: Imported successfully as Dia Frampton (Meg & Dia / NBC's The Voice) 2/19 at Mr. Smalls
INFO 2012-01-19 13:32:10,298 301515883214695: Imported successfully as The Longtime Darlings / Molehill / Casino Bulldogs 2/18 at Club Cafe
INFO 2012-01-19 13:32:10,298 261253707273530: Imported successfully as Good Brother Earl 2/18 at Club Cafe
INFO 2012-01-19 13:32:10,299 275729345813911: Imported successfully as Alba Flamenca 2/17 at Club Cafe
INFO 2012-01-19 13:32:10,299 170093319756825: Imported successfully as Heather Kropf 2/17 at Club Cafe
INFO 2012-01-19 13:32:10,299 164661763639021: Imported successfully as Eve Goodman & John Caldwell 2/16 at Club Cafe
INFO 2012-01-19 13:32:10,299 231032146951854: Imported successfully as Tea Leaf Green 2/16 at Mr. Smalls Theatre
INFO 2012-01-19 13:32:10,299 264013236985437: Imported successfully as Every Avenue / We Are The In Crowd 2/15 at Mr. Smalls
