,University of Pittsburgh,Frick Fine Arts Building,Bigelow & Clemente,(412) 648-2410,http://www.tour.pitt.edu/tour-060.html,G-4
,,PNC Bank,Fifth Ave. at Craig St.,(412) 683-7161,www.pnc.com,I-3,http://www.facebook.com/#!/pages/PNC-Bank/209732569053438
,,H&R Block,Atwood St.,(412) 681-2797,www.hrblock.com
,UPMC,University of Pittsburgh Cancer Institutute,,(412) 624-1115,www.upmc.edu,Various Sites
,,VA Pgh. Healthcare System,University Dr.,(412) 688-6000,http://www.pittsburgh.va.gov/,C-2
Kelly,,,,,,D-4
Xuan,,,,,,D-4
,,,,,,I-3
Bill,,,,,,E-3
Zee,,,,,,D-4
Lana,,,,,,E-4
