,Holiday Inn Select/University Cntr.,100 Lytton Ave.,(412) 682-6200,www.holidayinn.com,G-3,130664376946254
,Community of Reconcilation,100 N Bellefield Ave.,(412) 682-2751,,H-2,
Pittsburgh Parks Conservancy,Schenley Park Visitor's Center,101 Panther Hollow Road,(412) 687-1800,http://www.pittsburghparks.org/schenleyparkcafe,G-6,205974802752877
,H & R Block,107 Atwood St.,(412) 681-2797,www.hrblock.com,E-4,
Pittsburgh Public Schools,Pittsburgh Science and Technology Academy,107 Thackery Ave.,(412) 622-5980,http://www.pps.k12.pa.us/frick/site/default.asp,F-3,
,St. Paul Cathedral Rectory,108 N. Dithridge St.,(412) 621-4951,,H-3,
,Maggie & Stella's Gifts,109 Oakland Avenue,(412) 648-1353,http://www.maggieandstellasgifts.com/,,maggieandstellas
,Jazz Cuts,110 Atwood St.,(412) 561-8809,,,
,Natural Choice,111 Meyran Ave.,(412) 681-7746,,D-4,
,Hocus Pocus,113 Meyran Ave.,(412) 622-0113,http://www.hocuspocus13.net/store.html,D-4,HocusPocus13
,Pizza Sola,114 Atwood St.,(412) 681-7652,http://www.pizzasola.com/,,PizzaSola
,Sweet Berry Frozen Yogurt,115 Meyran Avenue,(412) 235 7623,,,140995945974331
,Hot Rod Piercing,115 Oakland Ave.,(412) 687-4320,http://www.hotrodpiercingcompany.com/,E-3,
,Lefty's Tatoo Parlor,115 Oakland Ave.,(412) 683-4802,,E-3,
,Hair Friends,116 Oakland Ave.,(412) 681-9243,,E-3,
,Peter's Pub,116 Oakland Ave.,(412) 681-7465,http://www.mypeterspub.com/,E-4,147938173556
,Crazy Mocha,116 S. Bouquet St.,(412) 621-7440,http://www.crazymocha.com/,F-4,127771128936
,Hot Tips,117 Oakland Ave.,(412) 682-3105,,E-3,
,Five Guys Burgers and Fries,117 S. Bouquet St.,(412) 781-5590,http://www.fiveguys.com/home.aspx,,
,"Peace, Love and Little Donuts",118 Meyran Avenue,(412) 379-3930,http://www.peaceloveandlittledonuts.com/,,168172703239295
,Oishii Bento,119 Oakland Avenue,(412) 687-3335,http://oishiibento.com/,,128620450510669
,St. Agnes Roman Catholic,120 Robinson St.,(412) 682-1129,,B-3,
,St. Agnes School,120 Robinson St.,(412) 682-1129,http://www.stagnesoakland.org/site/,B-4,
,Leena's Food,121 Oakland Avenue,(412)-480-8854,,E-3,leenasfood
University of Pittsburgh,University Club,123 University Pl.,(412) 621-1890,http://www.uc.pitt.edu/,F-3,
,Peter's Optical Shoppe,124 Oakland Ave.,(412) 681-8913,,E-3,
University of Pittsburgh,Synod Hall,125 N. Craig St.,(412) 621-6204,www.pitt.edu,I-3,
,Szechuan Express,125 Oakland Ave.,(412) 670-0126,,E-4,
,Citizens Bank,128 N. Craig St.,(412) 621-3344,www.citizens.com,H-2,
,Sushi Boat,128 Oakland Ave.,(412) 681-1818,,E-4,
,Central Christian Church,134 N. Dithridge St.,(412) 621-6760,,H-2,
,Korean Central Church,134 N. Dithridge St.,(412) 687-7775,,H-2,
,St. Paul's Cathedral School,136 N. Craig St.,(412) 621-7023,,I-2,
,Oakland Catholic High School,144 N. Craig Street,(412) 682-6633,http://www.oaklandcatholic.org/,I-2,194864157210632
,First Baptist Church,159 North Bellefield,(412) 621-0500,,H-2,108697855875679
,Personal Touch Home Care,160 N. Craig St.,(412) 681-1044,,I-2,
,Friendship Community Presbyterian Church,181 Robinson St.,(412) 683-0575,,B-3,
,Pizza Prima ,190 N. Craig St.,(412) 687-6464,,I-2,
,Alex's Flowers,192 N. Craig St.,(412) 687-4128,http://www.alexsflowers.com/,I-2,100001302231601
,Sunoco A-Plus Mini Market,195 N. Craig St.,(412) 687-7554,www.sunoco.com,I-2,
UPMC,UPMC Health System,200 Lothrop St.,(412) 674-8762,www.upmc.edu,D-3,
UPMC,UPMC Presbyterian,200 Lothrop St.,(412) 647-2345,www.upmc.edu,D-3,
,University Dental Care,200 N. Craig St.,(412) 681-8011,www.upmc.edu,I-1,
,Western PA School for the Blind,201 N. Bellefield Ave.,(412) 621-0100,http://www.wpsbc.org/wpsbc/site/default.asp,H-2,
,First Church of Christ Scientist,201 N. Dithridge St.,(412) 621-5339,,H-2,christiansciencepgh
,Optometric Associates,201 North Craig Street,(412)683-2727,,I-1,
,Oliverio Hair & Nails,201 S. Craig St.,(412) 681-4666,,H-3,
,Dave & Andy's Ice Cream,207 Atwood St.,(412) 681-9906,,E-4,DaveNAndys
,Crepes Parisiennes,207 S. Craig St.,(412) 683-1912,,,
,Small Business Development Cntr.,208 Bellefield Hall,(412) 648-1544,,H-2,
,Rite Aid,209 Atwood St.,(412) 621-4338,www.riteaid.com,E-4,
,Milan Hair and Nail Spa,209 S. Craig St.,(412) 421-8122,,,
,Uncle Sam's Subs,210 Oakland Ave.,(412) 621-1885,http://www.unclesamssubs.com/,E-4,
,Fuel & Fuddle,212 Oakland Ave.,(412) 682-3473,http://www.fuelandfuddle.com/,E-4,52775066304
,Gregory's Hair Design,214 N. Craig St.,(412) 682-1191,,I-1,
,Center for Wholistic Therapy,214 S. Craig St.,(412) 420-5225,,H-4,
,Little Nipper's Pizza,216 N. Craig St.,(412) 683-3777,,I-2,
,Oakland Real Estate Co.,216 Oakland Ave.,(412) 621-2742,,E-4,
,Wines & Spirits,217 Atwood St.,(412) 688-1943,www.pawinesandspirits.com,E-4,
,Pizza Romano,219 Atwood St.,(412) 621-6200,,,
Point Park University,Pittsburgh Playhouse,222 Craft Ave.,(412) 621-4445,http://www.pittsburghplayhouse.com/,B-5,pittsburgh.playhouse
,Pittsburgh Cafe,226 Meyran Ave.,(412) 687-3330,http://www.pittsburghcafe.com/,D-4,157973787550089
,Tong's Cuisine,228 Semple Street,(412) 918-1484,www.tongscuisine.com/,D-5,
,Oakland General Store,229 Atwood St.,(412) 683-0313,,E-4,220336147980324
UPMC,Eye & Ear Institute,230 Lothrop St.,(412) 647-2345,www.upmc.edu,D-3,
,Sorrento's Pizza,233 Atwood St.,(412) 621-9129,,E-4,
,Family House,233 McKee Place,(412) 647-7777,http://www.familyhouse.org/,D-5,FamilyHousePittsburgh
,United Jewish Federation,234 McKee Place,(412) 681-8000,http://www.jewishfederationpittsburgh.org/,D-5,jfedpgh
,New Oakland Tailor,234 Meyran Ave.,(412) 682-8028,,D-4,
,Oakland BID,235 Atwood Street,(412) 683-6243,www.onlyinoakland.org,E-4,351740933073
,Oakland Community Council,235 Atwood Street,(412) 687-8568,,E-4,
,Oakland Planning & Dev. Corp.,235 Atwood Street,(412) 621-7863,www.opdc.org,E-4,OPDC.org
,Puccini's,237 Atwood St.,(412) 621-2087,,E-4,salvatorepuccini
,The Black Bean,239 Atwood St.,(412) 621-2326,http://www.blackbeancc.com/,E-4,
,Pittsburgh Parks Conservancy,242 McKee Place,(412) 682-7275,http://www.pittsburghparks.org/,D-5,pittsburghparks
,Oakland Village Realty,246 Atwood St.,(412) 683-1200,,E-4,
,Antoon's Pizza,247 Atwood St.,(412) 687-5446,,E-4,197002851351
,McKnight Capital Partners,249 N. Craig St.(2nd Fl),(412) 681-8200,,I-1,
,Church of Jesus Christ of Latter Day Saints,250 N. Dithridge St.,(412) 802-6086,,H-1,
,Spice Island Tea House,253 Atwood St.,(412) 687-8821,http://www.spiceislandteahouse.com/Homepage.html,E-4,spiceislandteahouse
,Johnny's Place,256 N. Craig St.,(412) 681-4681,,I-1,
,Bombay Emporium,294 Craft Ave.,(412) 682-4965,,B-6,
,Thirsty's Restaurant,301 N. Craig Street,(412) 687-0114,,I-1,
,Joe Bellisario Barber,302 Atwood St.,(412)681-9725,,E-5,
,Irish Design Center,303 S. Craig St.,(412) 682-6125,http://www.irishdesigncenter.com/mysitecaddy/site3/,I-3,IrishDesignCenter
,The Renaissance & Baroque Society of Pittsburgh,303 South Craig Street,(412) 682-5253,http://www.rbsp.org/,H-3,
,Eat Unique,305 S. Craig St.,(412) 683-9993,http://www.eatuniquecafe.com/,,
,Chief's Cafe,307 N. Craig St.,(412) 683-2936,,I-1,
,Thrifty Cleaners,310 N. Craig St.,(412) 687-0114,,I-1,
,Mark/Anthony Hair Salon,311 S. Craig St.,(412) 682-3670,,I-3,278028374563
,Howard Hanna Real Estate,311 S. Craig St.,(412) 687-6000,www.howardhanna.com,I-3,
,Thai Palace Restaurant,311 South Craig Street,(412) 622-0133,,H-3,
,Craig Beer Distributor,313 North Craig Street,(412) 621-7200,,I-1,
,Eye Candy,314 North Craig Street,(412)621-1679,,I-1,
,Oakland Cafe,315 N. Craig Street,(412) 683-4300,,I-2,
,Pittsburgh Pretzel Sandwich Shop,3153 Forbes Avenue,(412) 235-7807,http://www.pittsburghpretzel.com/,,
,Lucca Restaurant,317 S. Craig St.,(412) 682-3310,http://luccaristorante.com/,H-3,LuccaRistorante
,Kohli's Indian Imports,319 S. Craig St..,(412) 621-1800,http://www.kohlisindianimports.com/,H-4,
,Burma-Tokyo,320 Atwood St,(412) 802-3163,,,
,University Motors,3229 Blvd. of the Allies,(412) 687-6556,,B-5,
,St. Regis Parish,3235 Parkview Ave.,(412) 681-9365,,E-9,
,India Garden,328 Atwood St.,(412) 682-3000,www.indiagarden.com,E-5,
,Hampton Inn,3315 Hamlet St.,(412) 681-1000,www.hamptoninn.com,B-5,
,Carlow University,3333 Fifth Ave.,(412) 578-6000,http://www.carlow.edu/,B-4,
,Allegheny County Health Dept.,3333 Forbes Ave.,(412) 687-ACHD,www.achd.org,C-4,
,Job Links,3360 Fifth Avenue,(412) 621-3821,,B-4,
,Salem's Halal Meat Grocery,338 S. Bouquet St.,(412) 621-4354,,F-4,110939620161
,The Comfort Zone,3400 Fifth Avenue,(412) 688-9311,http://www.comfortzonesalons.com/,C-4,
,Best Western,3401 Blvd. Allies,(412) 683-6100,www.bestwestern.com,C-6,
,E.S. Management,3401 Forbes Avenue,(412) 325-3904,,C-4,
,Flaherty & Co. Opticians,3402 Fifth Ave.,(412) 621-6027,,C-4,
,Sciulli's Pizza,3404 Fifth Ave.,(412) 687-9287,,C-4,117063121645059
Pittsburgh Public Schools,Board of Public Education,341 S Bellefield Ave.,(412) 622-3770,http://www.pghboe.net/pps/site/default.asp,G-3,294241040320
,Panera Bread,3411 Boulevard of the Allies,(412) 683-9616,http://www.panerabread.com/,C-6,
,Arby's ,3417 Forbes Ave.,(412) 687-3090,www.arby's.com,C-4,
,People's Oakland,3433 Bates Street,(412) 683-7570,,D-6,
,Mi Ranchito,344 Atwood St.,(412) 586-7034,,E-5,325518643484
,CVS Pharmacy,3440 Forbes Ave.,(412) 687-4180,www.cvs.com,C-4,
,Jimmy John's,3444 Forbes Avenue,(412) 681-9010,www.jimmyjohns.com,,
,John N. Elachko Funeral Home,3447 Dawson St. ,(412) 682-3257,,E-6,
,Merante Groceria,3454 Bates St.,(412) 683-3924,,E-6,
,Wyndham Garden Hotel,3454 Forbes Ave.,(412) 683-2040,www.wyndham.com,C-4,
,The Garden Cafe at Wyndham Hotel,3454 Forbes Ave.,(412) 683-2040,http://www.wyndham.com/hotels/PITUP/main.wnt,C-4,
,Eureka Bank,3455 Forbes Ave.,(412) 681-8400,www.eurekabankcorp.com,C-4,
UPMC,UPMC Montefiore,3459 Fifth Ave.,(412) 647-2345,www.upmc.edu,C-4,
,United States Post Office,347 S. Bouquet St.,(412) 621-9713,www.usps.com,F-4,
